id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
3578,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
3579,White,Male,No,No,No,No,No,No,No,No,No,No,No
3580,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
3581,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
3582,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3583,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3584,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3585,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
3586,White,Female,No,No,No,No,No,No,No,No,No,Yes,Yes
3587,White,Male,No,No,No,No,No,No,No,No,No,No,No
3588,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3589,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3590,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3591,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3592,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3593,White,Male,No,No,No,No,No,No,No,No,No,No,No
3594,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3595,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3596,White,Female,No,No,No,No,No,No,No,No,No,No,No
3597,White,Female,No,No,No,No,No,No,No,No,No,No,No
3598,White,Male,No,No,No,No,No,No,No,No,No,No,No
3599,White,Male,No,No,No,No,No,No,No,No,No,No,No
3600,White,Female,No,No,No,No,No,No,No,No,No,No,No
3601,White,Male,No,No,No,No,No,No,No,No,No,No,No
3602,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3603,White,Male,No,No,No,No,Yes,No,No,No,No,No,No
3604,White,Male,No,No,No,No,No,No,No,No,No,No,No
3605,White,Male,No,No,No,No,No,No,No,No,No,No,No
3606,White,Male,No,No,No,No,No,No,No,No,No,No,No
3607,White,Male,No,No,No,No,No,No,No,No,No,No,No
3608,White,Female,No,No,No,No,No,No,No,No,No,No,No
3609,White,Male,No,No,No,No,No,No,No,No,No,No,No
3610,Black,Male,No,No,No,No,No,No,No,No,No,No,No
