id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
3251,White,Male,No,No,No,No,No,No,No,No,No,No,No
3252,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3253,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3254,Black,Male,No,No,No,No,No,No,No,No,No,No,Yes
3255,Black,Male,No,No,No,No,No,No,No,No,No,No,Yes
3256,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3257,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
3258,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3259,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3260,White,Male,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
3261,White,Male,No,No,No,No,No,No,No,No,No,No,No
3262,White,Male,No,No,No,No,Yes,Yes,No,No,No,No,No
3263,White,Male,No,No,No,No,No,Yes,No,No,No,No,No
3264,White,Male,No,No,No,No,No,No,No,No,No,No,No
3265,Black,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
3266,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
3267,White,Male,No,No,No,No,No,No,No,No,No,No,No
3268,White,Male,No,No,No,No,No,No,No,No,No,No,No
3269,White,Male,No,No,No,No,No,No,No,No,No,No,No
3270,White,Male,No,No,No,No,No,No,No,No,No,No,No
3271,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3272,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3273,White,Male,No,No,No,No,No,No,No,No,No,No,No
3274,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3275,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3276,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3277,White,Male,No,No,No,No,No,No,No,No,No,No,No
3278,White,Female,No,No,No,No,No,No,No,No,No,No,No
3279,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3280,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3281,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3282,White,Male,No,No,No,No,No,No,No,No,No,No,No
3283,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3284,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3285,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3286,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3287,White,Female,No,No,No,No,No,No,No,No,No,No,No
3288,White,Male,No,No,No,No,No,No,No,No,No,No,No
3289,White,Male,No,No,No,No,No,No,No,No,No,No,No
3290,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3291,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
3292,White,Female,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3293,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3294,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3295,White,Female,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3296,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3297,White,Female,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3298,White,Female,No,No,No,No,No,No,No,No,No,No,No
3299,White,Female,No,No,No,No,No,No,No,No,No,No,No
3300,White,Male,No,No,No,No,No,No,No,No,No,No,No
3301,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3302,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3303,Black,Female,No,No,No,No,No,No,No,Yes,No,No,No
3304,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
3305,White,Male,No,No,No,No,No,No,No,No,No,No,No
3306,White,Male,No,No,No,No,No,No,No,No,No,No,No
3307,Black,Female,No,No,No,No,No,No,No,Yes,No,No,No
3308,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3309,Black,Female,No,No,No,No,No,No,No,Yes,No,No,No
3310,Native American,Male,No,No,No,No,No,No,No,No,No,No,No
3311,Native American,Male,No,No,No,No,No,No,No,No,No,No,No
3312,Native American,Female,No,No,No,No,No,No,No,No,No,No,No
3313,Native American,Female,No,No,No,No,No,No,No,No,No,No,No
3314,Black,Female,No,No,No,No,No,No,Yes,No,No,No,No
3315,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3316,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3317,Black,Female,No,No,No,No,No,No,No,No,No,Yes,No
3318,White,Female,No,No,No,No,No,No,No,No,No,No,No
3319,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3320,Asian/PI,Male,No,No,No,No,No,No,No,No,No,No,No
3321,White,Male,No,No,No,No,No,No,No,No,No,No,No
3322,White,Female,No,No,No,No,No,No,No,No,No,No,No
3323,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3324,White,Male,No,No,No,No,No,No,No,No,No,No,No
3325,White,Female,No,No,No,No,No,No,No,No,No,No,No
3326,White,Female,No,No,No,No,No,No,No,No,No,No,No
3327,White,Male,No,No,No,No,No,No,No,No,No,No,No
3328,NA,Female,No,No,No,No,No,No,No,No,No,No,No
3329,NA,Male,No,No,No,No,No,No,No,No,No,No,No
3330,NA,Female,No,No,No,No,No,No,No,No,No,No,No
3331,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3332,White,Male,No,No,No,No,No,No,No,No,No,No,No
3333,Asian/PI,Female,No,No,No,No,No,No,No,No,No,No,No
3334,White,Male,No,No,No,No,No,No,No,No,No,No,No
3335,White,Female,No,No,No,No,No,No,No,No,No,No,No
3336,White,Female,No,No,No,No,No,No,No,No,No,No,No
3337,White,Female,No,No,No,No,No,No,No,No,No,No,No
3338,White,Female,No,No,No,No,No,No,No,No,No,No,No
3339,White,Female,No,No,No,No,No,No,No,No,No,No,No
3340,Black,Male,No,No,No,No,No,No,No,No,Yes,No,No
3341,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3342,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3343,White,Female,No,No,No,No,No,No,No,No,No,No,No
3344,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3345,White,Female,No,No,No,No,No,No,No,No,No,No,No
3346,White,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
3347,White,Female,No,No,No,No,No,No,No,No,No,No,No
3348,White,Male,No,No,No,Yes,No,Yes,No,No,No,Yes,No
3349,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3350,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3351,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3352,White,Male,No,No,No,No,No,No,No,No,No,No,No
3353,White,Male,No,No,No,No,No,No,No,No,No,No,No
3354,White,Male,No,No,No,No,No,No,No,No,No,No,No
3355,White,Female,No,No,No,No,No,No,No,No,No,No,No
3356,White,Male,No,No,No,No,No,No,No,No,No,No,No
3357,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
3358,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3359,White,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
3360,Black,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
3361,White,Male,No,No,No,No,No,No,No,No,No,No,No
3362,White,Female,No,No,No,No,No,No,No,No,No,No,No
3363,White,Female,No,No,No,No,No,No,No,No,No,No,No
3364,White,Male,No,No,No,No,No,No,No,No,No,No,No
3365,White,Female,No,No,No,No,No,No,No,No,No,No,No
3366,White,Female,No,No,No,No,No,No,No,No,No,No,No
3367,White,Male,No,No,No,No,No,No,No,No,No,No,No
3368,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3369,White,Female,No,No,No,No,No,No,No,No,No,No,No
3370,White,Male,No,No,No,No,No,No,No,No,No,No,No
3371,White,Male,No,No,No,No,No,No,No,No,No,No,No
3372,White,Male,No,No,No,No,No,No,No,No,No,No,No
3373,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3374,White,Female,No,No,No,No,No,No,No,No,No,No,No
3375,White,Female,No,No,No,No,No,No,No,No,No,No,No
3376,White,Male,No,No,No,No,No,No,No,No,No,No,No
3377,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
3378,Black,Male,No,No,Yes,Yes,No,No,No,No,No,No,No
